,리뷰
15,"부천 활박물관과 궁도장-->부천 축구장과 진달래 정원 사이에 위치한 부천 스타디움 (Bucheon Stadium) 지하철 7 호선에서 가까운 도보 거리에 있습니다. 이 박물관은 한국의 양궁 장비 및 유물과 다른 무기를 전시 한 아주 작은 박물관입니다. 활 만들기 및 fletching의 재미있는 비디오를 보여주는 극장 방도 있습니다. 불행히도 저에게는 박물관의 모든 것이 한국어로만되어 있습니다. . . 한국어를 말하거나 읽지 않으려면 한국인 친구 또는 여행 가이드를 데려 오십시오! 나는 박물관 뒤의 궁도 범위를 멀리 바라보고있는 30 분 미만의 끝에 끝내었고, 이웃의 ""커피와 국수""카페에서 점심을 먹었다. 나는 한국의 올림픽 궁수들이 세계 최고라고 생각하는 박물관이 더 많을 것이라고 생각했지만 전반적으로 한 시간 동안 궁술에 관심이있는 사람에게는 좋은 경험이었다."
16,파주 프로방스-->프로방스 주차장에서 주차하고 나서
17,"파주 프로방스-->들어가는 길이 조금 좁고 길게 느껴져서 들어가면 구석구석 준비되어 있는 주차라인! 한바뀌 구경하면서 돌다보면 보는 재미, 먹는 재미, 듣는 재미가 있습니다."
18,파주 프로방스-->이뻐지만 너무 상업적
19,"파주 프로방스-->사람이 사는 마을이 아니라 상가들이 집결된 곳이다. 음식점, 빵집, 카페, 식물원, 옷가게, 잡화점 등. 주차장에 주차해야 하는데 1시간에 기본 2000원."
20,파주 프로방스-->아기자기하고귀여움
21,파주 프로방스-->몇년전보다 뭐가 많이 생겼네요사진찍을 스팟도 더 많고 상가도 많이 생기고 밤엔 전구들이 켜져서 더 예쁘네요꽃고 많구요 가족단위 커플 친구들 다 와도 좋을것같아요 근처에 식당도 많아서 뭐먹을지 고민안해도됩니다
22,파주 프로방스-->가족.커플 방문하기좋음
23,파주 프로방스-->몇년전에 와보고 간만에 왔는데 많이 바꼈네요주차장도넓어지고 상가도 많이 생기고 밤에 전구로 꾸며서 볼거리도 생기구요 낮에도 밤에도 사진찍을게 많더라구요놀다가 근처에서 식사하시고 아울렛 가시는분들고 있고 반대로 아울렛 쇼핑후 놀러오시는 분들도 많으니 편하신 이동경로로 하시면될것같아요
24,파주 프로방스-->프랑스마을
25,파주 프로방스-->프로방스마을은 헤이리와비슷하며 프랑스마을처럼 아기자기하게 잘 꾸며져있습니다 사진찍기에도 좋고 맛집도많이있습니다대표절으로 류재은베이커리라는 빵집이있는데 이곳에 마늘빵 추천드립니다
26,파주 프로방스-->좋아요
27,파주 프로방스-->고즈넉하고 평화롭고 음식점이나 카페도 많구요.좀 외져서 미사리처럼 불륜커플 많이 볼 수 있어요.
28,파주 프로방스-->갈때마다 실망하지만
29,"파주 프로방스-->갈때마다 실망하지만 그럼에도 한번씩 가게되는곳입니다. 가격 비싸구요, 사람도 많고, 예전에비해 심하게 상업적으로 바뀌는듯해서 아쉬워요. 그래도 사진은 예쁘게 나오는곳."
30,파주 프로방스-->나쁘지 않았어요
31,"파주 프로방스-->운전 연습할 겸 자유로 타고 갔습니다. 상점이 많긴 한데  뭔가.. 부족한 느낌? 옷가게가 대부분이고 예쁜 소품이나 식기들은 별로 없었습니다. 실내 정원이 있어 잠깐 둘러보고 몇 가지 소품 구입, 커피 한잔 마시고 왔네요. 건물이 이뻐서 사진은 잘 나오더라구요^^"
32,파주 프로방스-->헤이리 예술마을 가세요
33,"파주 프로방스-->그냥 한번 가볼만한 정도입니다. 굳이 가겠다면, 데이트할겸 한바퀴도는거 정도는 나쁘지 않습니다. 규모가 그리 크지 않아 오래 걸리지도 않습니다. 근처 건너쪽에 헤이리 예술마을이 훨씬 좋습니다."
34,파주 프로방스-->나름 인상적인 프로방스
35,파주 프로방스-->파주에 있는 종합 쇼핑타운으로 프로방스풍으로 특색있게 조성하여 놓은 곳이다. 주차료가 부담스럽기도 하다
36,융ㆍ건릉-->하루를 조용히 보내기에 좋은 장소 입니다.
37,융ㆍ건릉-->유명한 관광지는 아니지만 근처에 사는 사람들에게 하루를 조용히 보낼 수 있는 곳입니다.단체 관광으로 방문하는 것은 의미가 없으며 개인적으로 연인과 조용한 하루를 보내기에 좋습니다.한국의 고풍을 느끼기 위해서는 한국 전통 소나무가 중요합니다. 이런 소나무는 현재 잘 남아 있지 않은데 여기는 그런 나무들이 많습니다.
38,융ㆍ건릉-->가족 나들이
39,융ㆍ건릉-->조용한 봄에 가족 나들이 장소로 딱인 곳으로 진달래와 새소리로 마음을 정화할 수 있습니다. 가까운 곳에 윤릉과 용주사를 함께 관람하여 가족의 소중함과 아버지와 아들의 그리움을 느낄 수 있는 장소 입니다.
40,융ㆍ건릉-->융릉과 함께 있어요
41,융ㆍ건릉-->융릉과 건릉 함께 있습니다.잘 관리된 왕릉을 돌아본다는 마음으로 다녀오시면 좋을것 같아요.주말에는 일반인들이 주로 방문하고 평일에는 초등학생 소풍으로 오는듯합니다.
42,융ㆍ건릉-->융건릉
43,융ㆍ건릉-->융릉과 맞닿아 있습니다. 융건릉 입장료 1회로 융릉과 건릉을 볼 수 있습니다. 지대가 굉장히 넓고 나무가 많아 역사적인 지식 쌓기는 물론 힐링하기 좋은 장소입니다.
44,융ㆍ건릉-->산책하기 좋다
45,융ㆍ건릉-->역사적 의미가 있는 장소이기도 하지만 오래된 나무들사이로 난 길이 좋아서 산책하기 좋은 곳.
46,융ㆍ건릉-->시내와 떨어져있어 한적하고 가볍게 산책하기 좋아요!
47,"융ㆍ건릉-->입장료 성인 1000원, 점심시간(12:00-13:00) 이용권 5000원(10회권 기준)주변환경 정돈이 매우 잘 되있고, 잔디상태 너무 좋아서 사진 예쁘게 나와요하늘이 탁 트여서 바람도 잘 불고 마음도 시원해져요. 한여름엔 땡볕이겠지만 ^^;공공장소인데 화장실도 깨끗해요!산책길 따라 걷다보면 키큰 나무들 사이에서 풀내음 맡으며 작은 동물도 발견할수 있어남녀노소 기분좋게 다녀오실수있을것같아요. 특히 아이들이 많이 좋아하더라구요. 오르막이 있으니 이왕이면 편한 신발 신고 가시고 6시에 폐장하니 참고하세요."
48,융ㆍ건릉-->융건릉
49,융ㆍ건릉-->건릉과 융릉이 붙어 있어서 입구는 하나이다.위대한 정조대왕의 무덤이며접근 금지라 아래에서 위를 자세히 보긴 어렵다.날씨 좋은 날 산책하면 좋을 것 같다.
50,융ㆍ건릉-->문화체험 장소로 적합
51,"융ㆍ건릉-->아이들이 커 가면서 물어보는 것도 많고, 가고 싶은곳도 많은것 같습니다. 저희집 아이들도 주말이면 좋은 구경거리를 찾아 다니는데요! 그중하나가 건릉 인것 같습니다. 옛 조상들의 모습을 잠깐 이나마 볼 수 있고, 잘 꾸면지 수목원들이 있어 가족들이 놀기에도 그만인 장소 인것 같습니다.간단한 먹거리와 돗자리만 있다면 꼭 놀러가세요! 건릉으로~"
52,융ㆍ건릉-->조선의 존경할 왕을 만나는 곳
53,융ㆍ건릉-->왕이지만 자식의 도리를 다한 정조대왕의 모습을 상기하며 여행까지 하는 곳 조선의 역사를 다시금 돌아보며 닮지 못한 아쉬움을 느끼게 만들어 주는 곳
54,융ㆍ건릉-->산책하기좋은 융 건릉
55,융ㆍ건릉-->예전에는 돗자리나 음식물 반입금지가 아니라서 소풍겸 자주갔는데 작년부터인가 금지가 됐어요. 음식물반입은 그렇다치고 돗자리는 허용해줬으면 좋겠는데  반입금지 후에는 딱히 안찾게 됩니다.입장료가 있기때문에 특별하게 먼저 찾지는 않게되지만 수목조성이 잘 되어있는 편임으로 가까히 있는경우에는 한번쯤 들려볼만합니다.
56,자유공원-->산책하기 좋은곳
57,자유공원-->천천히 걷기 좋고 인천 앞바다를 한눈에 볼수 있는곳 시간이 남거나 근처에 왔다면 가볼만 합니다그리고 맥아더장군 동상을 볼수있어요
58,자유공원-->동인천의 뷰 포인트
59,"자유공원-->동인천의 뷰 포인트신포시장과 차이나타운, 동화마을이랑 가깝다노을 보기에  최적의 장소로 인천 앞바다가 내려다 보이며 저 멀리 영종도까지 볼 수 있다"
60,"자유공원-->4,5월에 방문하기 좋은곳"
61,"자유공원-->4,5월에 데이트장소로 방문하기 좋은곳이에요 특히 벚꽃필때는 꼭 야간에 방문해보세요. 정말 좋습니다. 가족 또는 연인과 산책하기 좋은곳!!"
62,자유공원-->산책
63,자유공원-->봄밤에 산책하기 좋은 공원이예요..저녁으로 차이나타운 들려서 맛난 음식 먹구   산책겸  벗꽃핀 공원을 산책하면  정말 분위기 있고  좋아요~~강추입니다
64,자유공원-->벚꽃 만발시기에 강추합니다.
65,자유공원-->가족들과 이 시기에 한 번쯤 가볼만한 가까운 명소......추천합니다!!!! 다만 주차가 조금 쉽지 않습니다. 유료 주차장을 이용하셔야 합니다.
66,자유공원-->의외로 괜찮은 공원
67,자유공원-->기대없이 우연히 들른 곳인데 산책하기 꽤 괜찮았어요. 공원도 돌고 주변 시장이나 차이나 타운까지 가면 하루 시간 보내기에 좋은 코스입니다.
68,자유공원-->봄과 잘 어울리는 공원
69,자유공원-->5월1일 근로자의날에 차이나타운에 방문하여 바로 위에 위치한 자유공원에 들렀다오래된 나무들이 울창하게 우거져있어 산책하는길이 너무 운치있었으며 공원 곳곳에 여러가지색들의 다양한 꽃들이 봄 햇살에 빛나고있었다 올라가면 인천 앞바다도 보이고 차이나타운에서 맛있는 중식을 즐기고 산책하기 알맞은 곳이다
70,자유공원-->인천 자유공원
71,자유공원-->차이나타운 위쪽으로 걷다 보면 제물포고등학교 근처에 있는 곳이에요. 서울 벚꽃은 다 졌는데 여기는 탐스럽고 너무 예쁘게 피어 있네요!
72,자유공원-->인천의 명소 자유공원
73,자유공원-->인천역이나 동인천역에서 도보로 이동 가능한 도심공원... 주변 차이나타운이나 신포시장 등과 함께 코스로 잡으면 좋을듯해요...저녁 무렵 서해 낙조도 볼수있는 곳이니 시간 잘 맞추시면 좋은 여행지가 될거예요...
74,자유공원-->걷기운동하기 딱 좋은 자유공원
75,"자유공원-->처음에 갔을 때, 우와~ ! 조명때문인지 살짝 차이나 느낌이 나서 좀 이국적인 느낌도 들었구요. 장시간 걷기운동하러가기 딱 좋은 곳, 데이트 하기에도 좋은 곳. 봄에 꽃피고 나서 가면 정말 좋겠구나 생각했습니다 ^^"
76,통일전망대-->글쎄요.....
77,"통일전망대-->입장료 3천원이지만, 호불호가 갈릴 것 같읍니다. 친구랑 같이 갔는데, 친구는 엄청 아까워 하더군요. 맑은 날에는 시야가 트여서 멀리까지 잘 보일 것 같읍니다."
78,통일전망대-->방문기
79,통일전망대-->이곳은 자유로를 달리다 보면 임진강 변으로 보이는 전망대입니다. 전망이 좋아 건너편 북쪽 마을과 전경이 대한민국이 처한 분단의 현실을 느낄 수 있는 곳입니다.
80,통일전망대-->역사의 현장
81,통일전망대-->아이들과 역사투어하며 여러군데를 방문했는데 여기도 정말 좋았어요. 언덕이 조금 높아 차가 올라가는데 어려움을 겪었네요
82,통일전망대-->가족 나들이겸 안보견학하기에 좋은곳
83,통일전망대-->통일 평화등 뜬구름 잡는 얘기보다는 이런곳에 방문해서 아이들에게 직접 보여주는것이 최고의 안보교육이 아닐까 싶습니다. 망원경으로 잘 보면 북한의 모습도 보여요
84,통일전망대-->가족나들이 도시락싸고 소풍 ^^
85,"통일전망대-->어제 가족들과 함께 파주 헤이리마을 가다 통일전망대를 보고 찾아 갔습니다. 강원도에만 있는줄 알았는데 파주에 있어서 아이 교육상 방문했습니다. 주말에는 아래 주차장에 차를 주차하고 셔틀버스 타야합니다. 저희가 방문한 날은 무료입장 기간이였습니다. 생각보다 너무 잘 꾸며져 있었습니다.  아이들체험공간도 있고 전망대에 카페도 있고 , 북측지역 설명도 잘 되어 있었습니다. 준비해간  도시락 먹으며 편한하게 가족나들이를 즐길수 있는 곳입니다."
86,통일전망대-->아름다운 오두산 통일전망대
87,통일전망대-->입장료 3000원으로 통일휴게소에서 주차하고 셔틀버스를 운행하고 있어 손쉽게 오두산 통일전망대에 도착할수 있었다. 벚꽃시즌이라 너무 좋았다. 사람도 많지 않고 한적하고 개나리도 피였다
88,통일전망대-->좋아요
89,통일전망대-->좋아요. 통일전망대에도 외국인이 많이 보입니다. 우리나라가 분단국가라는 현실을 확실하게 느낄 수 있어요.
90,통일전망대-->할머니가 북한분이셔서
91,통일전망대-->안에서 북한 특산물 이것저것 팔고명절엔.실향민들이 와서 제사도 지내요교통이 불편 일산에서도 한참 가야함교육적으로는 꽤 괜찮음
92,통일전망대-->난 별로
93,통일전망대-->친구네 할아버지가 이북분이셔서 아버지랑 가끔갔다고한번가보자고해서갔는데북한은 잘 보이지도 않구 너무 춥고ㅜㅜ저에겐 의미있는 장소는 아니었네요
94,통일전망대-->북한 사람들이 보입니다.
95,통일전망대-->오두산 통일 전망대 입니다. 집이 파주인 저는 이곳에 여러번 방문한 적이 있습니다.이곳에서 망원경을 통하면 실제의 북한 주민들을 볼수가 있습니다.또한 북한의 현재 생활을 엿볼수 있는 비디오 등 여러가지 전시물을 통해 북한에 대해 알수가 있습니다.한 번 쯤 가볼만 합니다.
96,십리포 해수욕장-->물놀이와 조개잡이가 가능한 바닷가
97,"십리포 해수욕장-->토요일에 방문했는데 사람들이 제법 많았지만 인산인해라 할 정도는 아니었고,체온과 연락처를 확인한 뒤 이용권 팔찌를 나눠주고 있었습니다.화장실, 샤워실, 수도 시설이 잘 되어 있어 아이들과 함께 놀기 좋았습니다.텐트 치는 곳은 꽤 안쪽인데 캠핑 의자를 가져가니 아이들이 있는 바닷가 가까이에 있을 수 있어 좋았습니다.물이 빠지고 나니 다들 조개잡이에 나서더군요. 해안 왼쪽에 나무 울타리 있는 쪽에서 많이 잡을 수 있었습니다."
98,"십리포 해수욕장-->인천의 아름다운 섬, 영흥도의 십리포해수욕장"
99,"십리포 해수욕장-->서울에서 가까운 해변을 찾아다닌지가 꽤 되는데요 무의도 하나개해수욕장은 알려지지 않았던 시절부터 다녔는데 이제는 배타고 나와서 교통체증이 싫어지고 비용도 그렇고..연륙교로 연결된 섬의 해변을 찾아다닙니다. 근년에 가끔 찾는 영흥도의 십리포 해변, 소박하지만 아이들 모래장난하고 갯벌체험하기 편안하고 좋은 장소로 추천합니다. 대부도 거쳐서 선재도 지나 영흥도로 들어가니 시화방조제까지의 교통체증은 어쩔수 없습니다만.."
100,순천 드라마세트장 -->재미있어요
101,순천 드라마세트장 -->꼭 옷도 빌려입고 놀아보세요 순천역쪽에 개화기 의상도 렌탈 해주더군요 미리 빌려입고 와도 좋을거 같아요. 교복은 현장에서 가능이요
102,순천 드라마세트장 -->옛 사람들의 정취가 남아있는 곳.
103,"순천 드라마세트장 -->한 겨울에 방문해서 사람들이 적었고, 스산하기 까지 했음. 그래도 한번쯤 나이 드신 분들과 오게 되면 옛 생각이 새록새록 날 그런 장소... 한번은 꼭 들러볼만 합니다."
104,순천 드라마세트장 -->순천여행
105,순천 드라마세트장 -->지금처럼 바쁜일상에서 시간이 정지된거 처럼 옛 추억을 생각할 수 것 같아서 좋아서요 오랜된 건물 같은데 보존도 잘 되고 있어서좋아서요.
106,순천 드라마세트장 -->추억의 장소
107,순천 드라마세트장 -->드라마와 영화 촬영장입니다 과거 장면들을 추억할수 있습니다 그렇게 크지 않아서 한시간이면 충분히 볼 수 있습니다 순천오시면 들려보세요
108,순천 드라마세트장 -->교복입기 체험하고 사진찍으면 좋아요
109,순천 드라마세트장 -->드라마 촬영장이 옛날 70-80년대를 배경으로 만들어져 있어서 고즈넉한 느낌에 색다른 느낌이 있어요. 옛날 교복 빌려 입고 사진 찍으면 타임머신 탄 느낌이 들 정도!
110,순천 드라마세트장 -->6-70년대옛날 향수를 느끼시는 분은 한번쯤 방문해보시길...
111,순천 드라마세트장 -->6-70년대옛날 향수를 느끼시는 분은 한번쯤 방문해보시길...어른들이 옛날 기억을 새록새록하게핫네요..ㅎㅎ달동네는 오르막길이 있어 어른들이 조금 힘들수도 있습니다.
112,순천 드라마세트장 -->드라마세트장 데이트
113,순천 드라마세트장 -->재미있는 구경을 많이 했다. 영화나 드라마에 나온 곳을 발견하는 재미가 쏠쏠. 신기한건 이렇게나 건물들이 작은데 어떻게 영상속에선 작게 안보였을까 하는 점
114,순천 드라마세트장 -->기억이 새록 새록
115,"순천 드라마세트장 -->서울 달동네와 어린 시절에 보고 경험해 익숙한 셋트장에 잊혀진 기억들이 새록 새록특히 예날 타고 다니던 자전거하며, 농기구다만 아쉬운건 달동네 셋트장에서 집집마다 내부도 현장감있게 보수하였으면 좋겠다는 생각이 듭니다."
116,순천 드라마세트장 -->사진찍기 좋은 날에~~^^
117,순천 드라마세트장 -->기분  좋은  그  어떤  날~~~   그 곳에선  그  어떠한  모습도  예쁘고  사랑스럽다  컨셉사진 몇 컷 찍고  션하게  막걸리도  한잔하고~~~  드라마 주인공이된냥~~^^  나두  나름  즐기고 있었던 것 같았다  그 날~~~~
118,순천 드라마세트장 -->재밌네요ㅎ
119,순천 드라마세트장 -->드라마세트장 재밌어요다들 교복 입고 돌아다니시던데 보기좋았어요되게 드라마생각나고 예전의 부모님세대의 분위기를 느낄수있었어요
